Date,Player,Country,Points
1971-02,Alan Connolly,Australia,90
1971-02,Alan Knott,England,151
1971-02,Alan Thomson,Australia,85
1971-02,Ashley Mallett,Australia,99
1971-02,Basil D'Oliveira,England,134
1971-02,Bill Lawry,Australia,147
1971-02,Doug Walters,Australia,229
1971-02,Graham McKenzie,Australia,95
1971-02,Greg Chappell,Australia,139
1971-02,Ian Chappell,Australia,242
1971-02,Ian Redpath,Australia,86
1971-02,John Edrich,England,246
1971-02,John Hampshire,England,65
1971-02,Keith Fletcher,England,134
1971-02,Keith Stackpole,Australia,94
1971-03,Alan Connolly,Australia,90
1971-03,Alan Knott,England,151
1971-03,Alan Thomson,Australia,85
1971-03,Ashley Mallett,Australia,99
1971-03,Basil D'Oliveira,England,134
1971-03,Bill Lawry,Australia,147
1971-03,Doug Walters,Australia,229
1971-03,Graham McKenzie,Australia,95
1971-03,Greg Chappell,Australia,139
1971-03,Ian Chappell,Australia,242
1971-03,Ian Redpath,Australia,86
1971-03,John Edrich,England,246
1971-03,John Hampshire,England,65
1971-03,Keith Fletcher,England,134
1971-03,Keith Stackpole,Australia,94
1971-04,Alan Connolly,Australia,90
1971-04,Alan Knott,England,151
1971-04,Alan Thomson,Australia,85
1971-04,Ashley Mallett,Australia,99
1971-04,Basil D'Oliveira,England,134
1971-04,Bill Lawry,Australia,147
1971-04,Doug Walters,Australia,229
1971-04,Graham McKenzie,Australia,95
1971-04,Greg Chappell,Australia,139
1971-04,Ian Chappell,Australia,242
1971-04,Ian Redpath,Australia,86
1971-04,John Edrich,England,246
1971-04,John Hampshire,England,65
1971-04,Keith Fletcher,England,134
1971-04,Keith Stackpole,Australia,94
1971-05,Alan Connolly,Australia,90
1971-05,Alan Knott,England,151
1971-05,Alan Thomson,Australia,85
1971-05,Ashley Mallett,Australia,99
1971-05,Basil D'Oliveira,England,134
1971-05,Bill Lawry,Australia,147
1971-05,Doug Walters,Australia,229
1971-05,Graham McKenzie,Australia,95
1971-05,Greg Chappell,Australia,139
1971-05,Ian Chappell,Australia,242
1971-05,Ian Redpath,Australia,86
1971-05,John Edrich,England,246
1971-05,John Hampshire,England,65
1971-05,Keith Fletcher,England,134
1971-05,Keith Stackpole,Australia,94
1971-06,Alan Connolly,Australia,90
1971-06,Alan Knott,England,151
1971-06,Alan Thomson,Australia,85
1971-06,Ashley Mallett,Australia,99
1971-06,Basil D'Oliveira,England,134
1971-06,Bill Lawry,Australia,147
1971-06,Doug Walters,Australia,229
1971-06,Graham McKenzie,Australia,95
1971-06,Greg Chappell,Australia,139
1971-06,Ian Chappell,Australia,242
1971-06,Ian Redpath,Australia,86
1971-06,John Edrich,England,246
1971-06,John Hampshire,England,65
1971-06,Keith Fletcher,England,134
1971-06,Keith Stackpole,Australia,94
1971-07,Alan Connolly,Australia,90
1971-07,Alan Knott,England,151
1971-07,Alan Thomson,Australia,85
1971-07,Ashley Mallett,Australia,99
1971-07,Basil D'Oliveira,England,134
1971-07,Bill Lawry,Australia,147
1971-07,Doug Walters,Australia,229
1971-07,Graham McKenzie,Australia,95
1971-07,Greg Chappell,Australia,139
1971-07,Ian Chappell,Australia,242
1971-07,Ian Redpath,Australia,86
1971-07,John Edrich,England,246
1971-07,John Hampshire,England,65
1971-07,Keith Fletcher,England,134
1971-07,Keith Stackpole,Australia,94
1971-08,Alan Connolly,Australia,90
1971-08,Alan Knott,England,151
1971-08,Alan Thomson,Australia,85
1971-08,Ashley Mallett,Australia,99
1971-08,Basil D'Oliveira,England,134
1971-08,Bill Lawry,Australia,147
1971-08,Doug Walters,Australia,229
1971-08,Graham McKenzie,Australia,95
1971-08,Greg Chappell,Australia,139
1971-08,Ian Chappell,Australia,242
1971-08,Ian Redpath,Australia,86
1971-08,John Edrich,England,246
1971-08,John Hampshire,England,65
1971-08,Keith Fletcher,England,134
1971-08,Keith Stackpole,Australia,94
1971-09,Alan Connolly,Australia,90
1971-09,Alan Knott,England,151
1971-09,Alan Thomson,Australia,85
1971-09,Ashley Mallett,Australia,99
1971-09,Basil D'Oliveira,England,134
1971-09,Bill Lawry,Australia,147
1971-09,Doug Walters,Australia,229
1971-09,Graham McKenzie,Australia,95
1971-09,Greg Chappell,Australia,139
1971-09,Ian Chappell,Australia,242
1971-09,Ian Redpath,Australia,86
1971-09,John Edrich,England,246
1971-09,John Hampshire,England,65
1971-09,Keith Fletcher,England,134
1971-09,Keith Stackpole,Australia,94
1971-10,Alan Connolly,Australia,90
1971-10,Alan Knott,England,151
1971-10,Alan Thomson,Australia,85
1971-10,Ashley Mallett,Australia,99
1971-10,Basil D'Oliveira,England,134
1971-10,Bill Lawry,Australia,147
1971-10,Doug Walters,Australia,229
1971-10,Graham McKenzie,Australia,95
1971-10,Greg Chappell,Australia,139
1971-10,Ian Chappell,Australia,242
1971-10,Ian Redpath,Australia,86
1971-10,John Edrich,England,246
1971-10,John Hampshire,England,65
1971-10,Keith Fletcher,England,134
1971-10,Keith Stackpole,Australia,94
1971-11,Alan Connolly,Australia,90
1971-11,Alan Knott,England,151
1971-11,Alan Thomson,Australia,85
1971-11,Ashley Mallett,Australia,99
1971-11,Basil D'Oliveira,England,134
1971-11,Bill Lawry,Australia,147
1971-11,Doug Walters,Australia,229
1971-11,Graham McKenzie,Australia,95
1971-11,Greg Chappell,Australia,139
1971-11,Ian Chappell,Australia,242
1971-11,Ian Redpath,Australia,86
1971-11,John Edrich,England,246
1971-11,John Hampshire,England,65
1971-11,Keith Fletcher,England,134
1971-11,Keith Stackpole,Australia,94
1971-12,Alan Connolly,Australia,90
1971-12,Alan Knott,England,151
1971-12,Alan Thomson,Australia,85
1971-12,Ashley Mallett,Australia,99
1971-12,Basil D'Oliveira,England,134
1971-12,Bill Lawry,Australia,147
1971-12,Doug Walters,Australia,229
1971-12,Graham McKenzie,Australia,95
1971-12,Greg Chappell,Australia,139
1971-12,Ian Chappell,Australia,242
1971-12,Ian Redpath,Australia,86
1971-12,John Edrich,England,246
1971-12,John Hampshire,England,65
1971-12,Keith Fletcher,England,134
1971-12,Keith Stackpole,Australia,94
1972-01,Alan Connolly,Australia,90
1972-01,Alan Knott,England,151
1972-01,Alan Thomson,Australia,85
1972-01,Ashley Mallett,Australia,99
1972-01,Basil D'Oliveira,England,134
1972-01,Bill Lawry,Australia,147
1972-01,Doug Walters,Australia,229
1972-01,Graham McKenzie,Australia,95
1972-01,Greg Chappell,Australia,139
1972-01,Ian Chappell,Australia,242
1972-01,Ian Redpath,Australia,86
1972-01,John Edrich,England,246
1972-01,John Hampshire,England,65
1972-01,Keith Fletcher,England,134
1972-01,Keith Stackpole,Australia,94
1972-02,Alan Connolly,Australia,90
1972-02,Alan Knott,England,151
1972-02,Alan Thomson,Australia,85
1972-02,Ashley Mallett,Australia,99
1972-02,Basil D'Oliveira,England,134
1972-02,Bill Lawry,Australia,147
1972-02,Doug Walters,Australia,229
1972-02,Graham McKenzie,Australia,95
1972-02,Greg Chappell,Australia,139
1972-02,Ian Chappell,Australia,242
1972-02,Ian Redpath,Australia,86
1972-02,John Edrich,England,246
1972-02,John Hampshire,England,65
1972-02,Keith Fletcher,England,134
1972-02,Keith Stackpole,Australia,94
1972-03,Alan Connolly,Australia,90
1972-03,Alan Knott,England,151
1972-03,Alan Thomson,Australia,85
1972-03,Ashley Mallett,Australia,99
1972-03,Basil D'Oliveira,England,134
1972-03,Bill Lawry,Australia,147
1972-03,Doug Walters,Australia,229
1972-03,Graham McKenzie,Australia,95
1972-03,Greg Chappell,Australia,139
1972-03,Ian Chappell,Australia,242
1972-03,Ian Redpath,Australia,86
1972-03,John Edrich,England,246
1972-03,John Hampshire,England,65
1972-03,Keith Fletcher,England,134
1972-03,Keith Stackpole,Australia,94
1972-04,Alan Connolly,Australia,90
1972-04,Alan Knott,England,151
1972-04,Alan Thomson,Australia,85
1972-04,Ashley Mallett,Australia,99
1972-04,Basil D'Oliveira,England,134
1972-04,Bill Lawry,Australia,147
1972-04,Doug Walters,Australia,229
1972-04,Graham McKenzie,Australia,95
1972-04,Greg Chappell,Australia,139
1972-04,Ian Chappell,Australia,242
1972-04,Ian Redpath,Australia,86
1972-04,John Edrich,England,246
1972-04,John Hampshire,England,65
1972-04,Keith Fletcher,England,134
1972-04,Keith Stackpole,Australia,94
1972-05,Alan Connolly,Australia,90
1972-05,Alan Knott,England,151
1972-05,Alan Thomson,Australia,85
1972-05,Ashley Mallett,Australia,99
1972-05,Basil D'Oliveira,England,134
1972-05,Bill Lawry,Australia,147
1972-05,Doug Walters,Australia,229
1972-05,Graham McKenzie,Australia,95
1972-05,Greg Chappell,Australia,139
1972-05,Ian Chappell,Australia,242
1972-05,Ian Redpath,Australia,86
1972-05,John Edrich,England,246
1972-05,John Hampshire,England,65
1972-05,Keith Fletcher,England,134
1972-05,Keith Stackpole,Australia,94
1972-06,Alan Connolly,Australia,90
1972-06,Alan Knott,England,151
1972-06,Alan Thomson,Australia,85
1972-06,Ashley Mallett,Australia,99
1972-06,Basil D'Oliveira,England,134
1972-06,Bill Lawry,Australia,147
1972-06,Doug Walters,Australia,229
1972-06,Graham McKenzie,Australia,95
1972-06,Greg Chappell,Australia,139
1972-06,Ian Chappell,Australia,242
1972-06,Ian Redpath,Australia,86
1972-06,John Edrich,England,246
1972-06,John Hampshire,England,65
1972-06,Keith Fletcher,England,134
1972-06,Keith Stackpole,Australia,94
1972-07,Alan Connolly,Australia,90
1972-07,Alan Knott,England,151
1972-07,Alan Thomson,Australia,85
1972-07,Ashley Mallett,Australia,99
1972-07,Basil D'Oliveira,England,134
1972-07,Bill Lawry,Australia,147
1972-07,Doug Walters,Australia,229
1972-07,Graham McKenzie,Australia,95
1972-07,Greg Chappell,Australia,139
1972-07,Ian Chappell,Australia,242
1972-07,Ian Redpath,Australia,86
1972-07,John Edrich,England,246
1972-07,John Hampshire,England,65
1972-07,Keith Fletcher,England,134
1972-07,Keith Stackpole,Australia,94
1972-08,Alan Connolly,Australia,90
1972-08,Alan Knott,England,151
1972-08,Alan Thomson,Australia,85
1972-08,Ashley Mallett,Australia,99
1972-08,Basil D'Oliveira,England,134
1972-08,Bill Lawry,Australia,147
1972-08,Doug Walters,Australia,229
1972-08,Graham McKenzie,Australia,95
1972-08,Greg Chappell,Australia,139
1972-08,Ian Chappell,Australia,242
1972-08,Ian Redpath,Australia,86
1972-08,John Edrich,England,246
1972-08,John Hampshire,England,65
1972-08,Keith Fletcher,England,134
1972-08,Keith Stackpole,Australia,94
1972-09,Alan Knott,England,226
1972-09,Barry Wood,England,138
1972-09,Bob Massie,Australia,120
1972-09,Brian Close,England,183
1972-09,Dennis Amiss,England,354
1972-09,Doug Walters,Australia,202
1972-09,Geoff Boycott,England,211
1972-09,Greg Chappell,Australia,288
1972-09,Ian Chappell,Australia,319
1972-09,John Edrich,England,242
1972-09,Keith Fletcher,England,322
1972-09,Keith Stackpole,Australia,371
1972-09,Paul Sheahan,Australia,216
1972-09,Ross Edwards,Australia,195
1972-09,Tony Greig,England,194
1972-10,Alan Knott,England,226
1972-10,Barry Wood,England,138
1972-10,Bob Massie,Australia,120
1972-10,Brian Close,England,183
1972-10,Dennis Amiss,England,354
1972-10,Doug Walters,Australia,202
1972-10,Geoff Boycott,England,211
1972-10,Greg Chappell,Australia,288
1972-10,Ian Chappell,Australia,319
1972-10,John Edrich,England,242
1972-10,Keith Fletcher,England,322
1972-10,Keith Stackpole,Australia,371
1972-10,Paul Sheahan,Australia,216
1972-10,Ross Edwards,Australia,195
1972-10,Tony Greig,England,194
1972-11,Alan Knott,England,226
1972-11,Barry Wood,England,138
1972-11,Bob Massie,Australia,120
1972-11,Brian Close,England,183
1972-11,Dennis Amiss,England,354
1972-11,Doug Walters,Australia,202
1972-11,Geoff Boycott,England,211
1972-11,Greg Chappell,Australia,288
1972-11,Ian Chappell,Australia,319
1972-11,John Edrich,England,242
1972-11,Keith Fletcher,England,322
1972-11,Keith Stackpole,Australia,371
1972-11,Paul Sheahan,Australia,216
1972-11,Ross Edwards,Australia,195
1972-11,Tony Greig,England,194
1972-12,Alan Knott,England,226
1972-12,Barry Wood,England,138
1972-12,Bob Massie,Australia,120
1972-12,Brian Close,England,183
1972-12,Dennis Amiss,England,354
1972-12,Doug Walters,Australia,202
1972-12,Geoff Boycott,England,211
1972-12,Greg Chappell,Australia,288
1972-12,Ian Chappell,Australia,319
1972-12,John Edrich,England,242
1972-12,Keith Fletcher,England,322
1972-12,Keith Stackpole,Australia,371
1972-12,Paul Sheahan,Australia,216
1972-12,Ross Edwards,Australia,195
1972-12,Tony Greig,England,194
1973-01,Alan Knott,England,226
1973-01,Barry Wood,England,138
1973-01,Bob Massie,Australia,120
1973-01,Brian Close,England,183
1973-01,Dennis Amiss,England,354
1973-01,Doug Walters,Australia,202
1973-01,Geoff Boycott,England,211
1973-01,Greg Chappell,Australia,288
1973-01,Ian Chappell,Australia,319
1973-01,John Edrich,England,242
1973-01,Keith Fletcher,England,322
1973-01,Keith Stackpole,Australia,371
1973-01,Paul Sheahan,Australia,216
1973-01,Ross Edwards,Australia,195
1973-01,Tony Greig,England,194
1973-02,Alan Knott,England,226
1973-02,Barry Wood,England,138
1973-02,Bob Massie,Australia,120
